id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,96.0,30,194,2024-10-05,1.01,1,173,3,
6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kahshanna,Manhattan,East Harlem,40.80107,-73.94255,Private room,59.0,30,1,2022-06-05,0.03,2,83,0,
6990,UES Beautiful Blue Room,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,67.0,30,251,2024-12-01,1.34,1,264,5,
7097,"Perfect for Your Parents, With Garden & Patio",17571,Jane,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,195.0,2,398,2025-02-28,2.16,2,190,36,OSE-STRREG-0000008
7801,Sunny Williamsburg Loft with Sauna,21207,Chaya,Brooklyn,Williamsburg,40.71880722045898,-73.9561767578125,Entire home/apt,290.0,30,13,2024-07-31,0.07,1,0,1,
8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68455584344908,-73.93963415175676,Entire home/apt,216.0,30,190,2023-10-16,1.01,2,150,0,
9357,Midtown Pied-a-terre,30193,Tommi Laurelle,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175.0,30,58,2017-08-13,0.31,1,0,0,
10452,Radiant Oasis  B&B Style room,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,90.0,30,81,2024-08-19,0.45,6,137,1,
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,110.0,30,80,2025-01-06,0.43,1,110,5,
14314,Greenpoint Place...Has It All!,56246,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,115.0,30,179,2024-09-30,0.97,1,303,2,
15341,* Lovely Nolita 1Bdrm w Elevator and 24hr Doorman*,60049,Ted,Manhattan,Lower East Side,40.721359,-73.993668,Entire home/apt,169.0,30,40,2024-12-02,0.29,1,90,3,
15385,"Very, very cozy place",60252,Maria C,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,97.0,30,60,2025-01-31,0.33,1,206,3,
16580,"Sunny, Modern room in East Village w City Views",64442,Reka,Manhattan,East Village,40.72372723229208,-73.97625850509617,Private room,109.0,1,620,2025-02-15,4.42,2,118,68,OSE-STRREG-0000108
16821,Charming Room in Amazing East Village Apt. (B),4396,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,136.0,1,244,2025-01-30,1.6,2,50,56,OSE-STRREG-0001710
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,300.0,30,291,2023-09-05,1.58,1,57,0,
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,230.0,30,54,2024-06-06,0.3,1,177,1,
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76967,-73.94831,Private room,70.0,30,147,2019-09-01,0.9,1,354,0,
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,150.0,30,250,2024-11-15,1.47,1,263,4,
19174,One bedroom Duplex Private Terrace West Village,73164,Alexis,Manhattan,West Village,40.73917,-74.00207,Entire home/apt,200.0,90,68,2024-12-27,0.38,1,300,1,
19282,"Sunny, Spacious Top Floor Haven",73469,Djassi,Brooklyn,Flatbush,40.65437,-73.96278,Private room,94.0,30,16,2019-07-20,0.09,1,88,0,
21794,COZY QUIET monthly room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74187,-74.00223,Private room,85.0,30,36,2020-01-19,0.2,2,364,0,
23135,@HouseOnHenrySt Private 1 bedroom with shared use,11481,Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,Private room,150.0,30,318,2024-07-25,1.77,4,365,1,
23545,Upper Upper West Side Garden Apartment Townhouse,92411,Karen,Manhattan,Harlem,40.82825,-73.95138,Entire home/apt,200.0,30,215,2019-06-17,1.18,1,358,0,
24285,Beautiful 3 bedroom & 3 bathroom Duplex Apartment,97797,Brandon,Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,200.0,30,93,2024-10-29,0.52,1,274,2,
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,81.0,30,479,2022-05-31,2.67,3,61,0,
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,100.0,30,25,2011-12-10,0.14,1,0,0,
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,150.0,30,19,2017-05-31,0.11,1,365,0,
29013,Cozy Gorgeous Room,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,90.0,30,75,2024-12-30,0.42,6,292,2,
29628,"Comfortable, Sunny Room",127608,Christopher,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,139.0,3,457,2025-02-17,2.55,1,166,59,OSE-STRREG-0000041
31130,Entire apartment _Most central location!,117287,Lara Nicole,Manhattan,Hell's Kitchen,40.7672,-73.98464,Entire home/apt,210.0,30,75,2024-01-07,0.42,4,365,0,
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,122.0,2,601,2025-02-07,3.37,2,242,36,OSE-STRREG-0000832
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,233.0,30,298,2024-12-06,1.67,1,239,3,
34760,"Sunny Room, Historical Brooklyn Brownstone 30-days",149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97378,Private room,74.0,30,38,2025-01-31,0.4,3,112,5,
212109,Charming Greenwich Village share,666271,Susan,Manhattan,West Village,40.73814,-74.00811,Private room,98.0,31,13,2024-08-10,0.11,1,305,1,
213330,Master Bedroom - Unbelievably RARE Penthouse Oasis,800223,Nader,Manhattan,Chinatown,40.71681594848633,-73.98969268798828,Private room,220.0,5,81,2025-01-01,0.68,1,241,16,OSE-STRREG-0002430
216080,Spacious & Sunny Safe Haven,17571,Jane,Brooklyn,Fort Greene,40.69062,-73.97354,Private room,183.0,30,155,2024-07-13,0.95,2,340,1,
218358,Your Haven in the Upper West Side,1129218,Orlando,Manhattan,Harlem,40.80592,-73.95172,Private room,58.0,30,31,2024-12-23,0.25,1,210,3,
219066,"Wonderful Studio In Brooklyn, NY!!!",447754,Yana,Brooklyn,Bensonhurst,40.61943,-73.99232,Entire home/apt,106.0,30,38,2025-02-15,0.23,1,364,5,
